directory,files,total_loc,code_loc,comment_loc,blank_loc,avg_loc
scripts,48,17090,12836,1977,2277,356
app/pipeline,20,7011,4514,1589,908,351
tests,25,5961,4021,800,1140,238
backend/routers,17,4252,3181,474,597,250
app/graphdb,5,4086,3062,584,440,817
app/transcript,7,2537,1753,427,357,362
app/ui,3,2368,1888,208,272,789
pages,2,1986,1511,234,241,993
app/ingestion,7,1958,1255,396,307,280
app/pdf,11,1930,1167,416,347,175
app/crawler,9,1603,1056,297,250,178
evaluation,6,1411,562,664,185,235
backend,6,960,500,316,144,160
app,4,698,419,176,103,174
backend/schemas,7,477,325,39,113,68
app/vectordb,3,451,288,88,75,150
tests/test_api,8,375,240,42,93,47
app/contacts,2,249,156,53,40,124
app/scheduler,2,249,144,54,51,124
app/logging,2,168,122,23,23,84
backend/utils,2,127,79,28,20,64
app/embedding,2,67,40,14,13,34
(root),1,18,6,7,5,18
